Child LGU,P1 parent,P1 stability,P2 parent,P2 stability,P3 parent,P3 stability
ALAMADA,primary,100%,MIDSAYAP,48%,primary,100%
ALEOSAN,primary,100%,primary,60%,primary,100%
ANTIPAS,PRESIDENT ROXAS,71%,MAGPET,43%,PRESIDENT ROXAS,33%
ARAKAN,PRESIDENT ROXAS,31%,primary,71%,primary,31%
BANISILAN,primary,22%,ALAMADA,29%,ALAMADA,27%
CARMEN,MATALAM,33%,KABACAN,44%,KABACAN,44%
KABACAN,KIDAPAWAN CITY,26%,primary,100%,KIDAPAWAN CITY,25%
KIDAPAWAN CITY,primary,54%,MAGPET,50%,MAKILALA,75%
LIBUNGAN,MIDSAYAP,77%,primary,100%,ALAMADA,59%
M'LANG,primary,70%,primary,33%,KIDAPAWAN CITY,31%
MAGPET,KIDAPAWAN CITY,59%,primary,100%,primary,48%
MAKILALA,KIDAPAWAN CITY,75%,MAGPET,43%,primary,100%
MATALAM,KABACAN,34%,KABACAN,36%,MAKILALA,31%
MIDSAYAP,primary,100%,primary,100%,ALAMADA,44%
PIGCAWAYAN,MIDSAYAP,52%,primary,100%,ALAMADA,46%
PIKIT,MIDSAYAP,36%,MIDSAYAP,38%,MIDSAYAP,37%
PRESIDENT ROXAS,KIDAPAWAN CITY,47%,MAGPET,59%,primary,58%
TULUNAN,M'LANG,56%,M'LANG,57%,KIDAPAWAN CITY,23%
